Class,Str,Agi,Int,CC,CX,Splash,AS,CDS,MR,MS,Total_DMG_Str,Total_DMG_Agi,Total_DMG_Int,Total_HP,Total_HPR,Total_Armor,Total_MP,Total_MPR
Champion,20.00,0.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Avenger,20.00,0.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
White Wizard,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Arch Sage,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Sniper,0.00,20.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Monster Hunter,0.00,20.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Phantom Assassin,0.00,20.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Master Stalker,0.00,20.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Grant Templar,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Dark ArchTemplar,0.00,50.00,0.00,0,0,42857.14,90000.00,100000.00,0.00,0.00,0.00,10.00,0.00,1.00,30.00,50.00,0.00,0.00
Hierophant,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Prophetess,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Professional Witcher,0.00,20.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Grand Inquisitor,20.00,0.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Summoner,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Rune Master (Bear),20.00,5.00,5.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Rune Master (Wolf),0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Jounin,0.00,20.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Annihilator,20.00,0.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Sky Sorceress,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Lightbinder,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Mystic,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Stargazer,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Valkryie,20.00,0.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Paladin,20.00,0.00,0.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Rhapsody,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Mythsong,0.00,0.00,20.00,25000.00,4545.45,42857.14,30000.00,100000.00,0.00,0.00,3.00,3.00,3.00,1.00,200.00,44.12,0.76,125.00
Demon Incarnate,20.00,0.00,0.00,0.00,0.00,0.00,0.00,71000.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
