Item,Dungeon,Class,Str,Agi,Int,HP,HPR,MP,MPR,DMG,CC,CX,Splash,AS,Armor,CDS,MR,MS,Total_DMG_Str,Total_DMG_Agi,Total_DMG_Int,Total_HP,Total_HPR,Total_Armor,Total_MP,Total_MPR
Belt of Indurance,3,All,20,,,,,,,,,,,,,,,,20,0,0,400,1,0,0,0
Blood Diamond,3,All,40,40,40,,,,,,,,,,,,,,40,40,40,800,2,3,600,2
Boot of the Eagle,3,All,,54,,,,,,,,,,,,,,,0,54,0,0,0,5,0,0
Bracer of the Bear,3,All,10,,,300,,,,,,,,,12,,,,10,0,0,500,1,12,0,0
Firebrand,3,All,15,15,15,,,,,,,,,,20,,,,15,15,15,300,1,21,225,1
Helm of Valor,3,Melee,35,35,35,200,,,,,,,,,,,,,35,35,35,900,2,3,525,2
Soul Wand,3,Intelligence,,,55,,,,15,,,,,,,,,,0,0,55,0,0,0,825,18
VanCliffe's Armor,3,Melee,,,,,,,,,,,,,38,,,,0,0,0,0,0,38,0,0
Celestial Orb,4,All,35,35,35,,5,,,,,,,,,,,,35,35,35,700,7,3,525,2
Cunning Edge,4,Melee,,,,,,,,110,,,,,,,,,110,110,110,0,0,0,0,0
Enchanted Axe,4,Melee,,,,,,,,100,,,,,,,,,100,100,100,0,0,0,0,0
Long Rifle,4,Archer,,,,,,,,150,,,,,,,,,150,150,150,0,0,0,0,0
Mythpowder Rifle,4,Archer,,30,,,,,,135,,,,,,,,,135,165,135,0,0,3,0,0
Shield of the Avenger,4,All,,,,,,,,,,,,,38,,,,0,0,0,0,0,38,0,0
Sword of the Blessed Flame,4,Melee,,,,,,,,200,,,,,,,,,200,200,200,0,0,0,0,0
Warchief's Pride,4,Melee,,,,,,,,76,,,,,,,,,76,76,76,0,0,0,0,0
Boots of Speed,5,All,5,5,5,,,,,,,,,,,,,50,5,5,5,100,0,0,75,0
Chillrend,5,Melee,,,,,,,,250,,,,,,,,,250,250,250,0,0,0,0,0
Dreaded Claw,5,Melee Agility,,,,,,,,250,,,,,,,,,,,,,,,,
Dusk's Legacy,5,All,,,,1000,,,,,,,,,30,,,,0,0,0,1000,0,30,0,0
Flag of Triumph,5,Melee,,,,2500,,,,,,,,,,,,,,,,,,,,
Hyperstone,5,Melee,,,,,,,,250,,,,,,,,,,,,,,,,
Lunar Cuirass,5,All,,,,300,,300,,,,,,,30,,,,0,0,0,300,0,30,300,0
Medallion of Resistance,5,All,,,,,,,,,,,,,40,,,,,,,,,,,
Nature Staff,5,Intelligence,,,150,,,,,,,,,,,,,,0,0,150,0,0,0,2250,8
Ocean Cuirass,5,All,,,,1650,,1250,,,,,,,50,,,,0,0,0,1650,0,50,1250,0
Ocean Stone,5,Intelligence,,,200,,,,,,,,,,,,,,,,,,,,,
Plated Steel,5,Melee,,,,,,,,,,,,,45,,,,,,,,,,,
Ring of Melitele,5,All,50,50,50,,20,,,,,,,,,,,,50,50,50,1000,23,4,750,3
Scroll of the Lich,5,Intelligence,,,140,,,,5,,,,,,,,,,0,0,140,0,0,0,2100,12
Sentinel,5,Archer,,,,,,,,250,,,,,,,,,,,,,,,,
Sniper Rifle,5,Archer,,,,,,,,240,,,,,,,,,240,240,240,0,0,0,0,0
Death Reaver,6,Melee,100,,,,,,,600,,,,,,,,,700,600,600,2000,5,0,0,0
Frostbrand,6,Melee,,,,,,,,400,,,,,,,,,400,400,400,0,0,0,0,0
Ghost Armor,6,Melee,,,,,,,,,,,,,65,,,,0,0,0,0,0,65,0,0
Humunculus,6,Intelligence,,,250,,,,,,,,,,,,,,0,0,250,0,0,0,3750,13
Silver Arrows,6,Archer,,,,,,,,1000,,,,,,,,,1000,1000,1000,0,0,0,0,0
Staff of the Naga,6,Intelligence,,,200,1100,,,,,,,,,,,,,0,0,200,1100,0,0,3000,10
Synergy Blade,6,Melee Agility,,75,,,,,,700,,,,,,,,,700,775,700,0,0,6,0,0
The Executioner,6,Melee,100,100,,,,,,600,,,,,,,,,700,700,600,2000,5,8,0,0
The Spirit Shroud,6,All,50,50,50,,,,,,,,,,,,0.2,,50,50,50,1000,3,4,750,3
Golden Arrows,7,Archer,,,,,,,,1400,,,,,,,,,1400,1400,1400,0,0,0,0,0
Hexfire's Edge,7,Melee Agility,,,,,,,,1400,,,,,,,,,1400,1400,1400,0,0,0,0,0
Icecrown's Visage,7,Melee,,,,1100,,,,,,,,,75,,,,0,0,0,1100,0,75,0,0
Necklace of Seven Souls,7,Intelligence,,,275,,,,20,,,,,,,,,,0,0,275,0,0,0,4125,34
Phoenix Stone,7,All,140,140,140,,,,,,,,,,,,,,140,140,140,2800,7,12,2100,7
Shield of Unending Flame,7,Melee,,,,,,,,,,,,,90,,,,0,0,0,0,0,90,0,0
Staff of the Ages,7,Intelligence,,,350,,,,,,,,,,,,,,0,0,350,0,0,0,5250,18
Stone of Vsmir,7,Melee Agility,,100,,,,,,1000,,,,,,,,,1000,1100,1000,0,0,8,0,0
Atma's Defense,8,All,,,,,,,,,,,,,,,0.25,,0,0,0,0,0,0,0,0
Battle Gauntlets,8,All,,,,,,,,800,,,,,75,,,,800,800,800,0,0,75,0,0
Double-barrel Rifle,8,Archer,,,,,,,,2000,,,,,,,,,2000,2000,2000,0,0,0,0,0
Emerald Blade,8,All,125,125,125,,,,,1400,,,,,,,,,1525,1525,1525,2500,6,10,1875,6
Fetal Totem,8,Shapeshifter,,,500,,,,,,,,,0.10,,,,,0,0,500,0,0,0,7500,25
Hades's Artifact,8,All,280,280,280,,,,,,,,,,,,,,280,280,280,5600,14,23,4200,14
Hand of God,8,Melee,325,,,,,,,,,,,0.15,25,,,,325,0,0,6500,16,25,0,0
Horadric Staff,8,Intelligence,,,400,,40,,25,,,,,,,,,,0,0,400,0,40,0,6000,45
Infernostride,8,All,140,140,140,,,,,,,,,,,,,70,140,140,140,2800,7,12,2100,7
The Heart of Evo,8,All,,,,5500,,4125,,,,,,,,,,,0,0,0,5500,0,0,4125,0
The Pendant of Nagre,8,Intelligence,,,400,,,1650,,,,,,,,,,,0,0,400,0,0,0,7650,20
The Psionic Razor,8,Melee Agility,,,,,,,,2000,,,,,,,,,2000,2000,2000,0,0,0,0,0
Angel's Sanctuary,9,Melee,,,,1100,,,,,,,,,150,,,,0,0,0,1100,0,150,0,0
Athena's Aim,9,Archer,,,,,,,,2600,,,,,,,,,2600,2600,2600,0,0,0,0,0
Bethrezen's Flame,9,Intelligence,,,800,,,,,,,,,,,,,,0,0,800,0,0,0,12000,40
Brightstar,9,Melee Agility,,650,,,,,,,,,,,,,,,0,650,0,0,0,54,0,0
Contuirteacha,9,Chunin,,650,,,,,,,,,,,,,,,0,650,0,0,0,54,0,0
Dawn's Legacy,9,All,170,170,170,,,,,,,,,0.15,,,,80,170,170,170,3400,9,14,2550,9
Duriel's Shell,9,All,,,,,,,,,,,,,150,,,,0,0,0,0,0,150,0,0
Hell Diamond,9,All,250,250,250,,,,,,,,,,,0.05,,,250,250,250,5000,13,21,3750,13
Megaton Blade,9,Melee Agility,,,,,,,,2350,0.60,3.0,,,,,,,2350,2350,2350,0,0,0,0,0
Moonfang,9,Melee Agility,,400,,,,,,2000,,,,,,,,,2000,2400,2000,0,0,33,0,0
Pandora,9,Intelligence,,,675,,,,,,,,,,,0.05,,,0,0,675,0,0,0,10125,34
Song of Ice,9,Melee,,,,,,,,800,,,,,,,,,800,800,800,0,0,0,0,0
Summoning Codex,9,Druid,425,425,425,,,,,,,,,,,0.05,,,425,425,425,8500,21,35,6375,21
Tome of the Unlife,9,Intelligence,,,500,,,,,,,,,,,,,,0,0,500,0,0,0,7500,25
Blade of the Ruined King,10,Melee,,,,7000,,,,3600,,,,,,,,,3600,3600,3600,7000,0,0,0,0
Dark Bow,10,Archer,,500,,,,,,,,,,0.15,,,,,0,500,0,0,0,42,0,0
Dusk Orb,10,All,,,,8800,,6600,,,,,,,,,,,0,0,0,8800,0,0,6600,0
Hand of Blessed Light,10,Intelligence,,,550,,,,40,,,,,,,0.05,,,0,0,550,0,0,0,8250,68
Scepter of Oblivion,10,Intelligence,,,600,,,,30,,,,,,,,,,0,0,600,0,0,0,9000,60
Soul Crystal,10,All,,,,7150,,,,,,,,,,,0.25,,0,0,0,7150,0,0,0,0
Soulcutter,10,Melee Agility,,,,,,,,2300,,,,0.15,,,,,2300,2300,2300,0,0,0,0,0
Time Sabres,10,Melee,,,,4400,,,,2400,,,,,,,,,2400,2400,2400,4400,0,0,0,0
Tremor,10,Inquisitor:Tank,,,,,,3300,,,,,,,150,0.10,,,0,0,0,0,0,150,3300,0
Black Hades,11,Melee,,,,,,,,,,,,,250,,,,0,0,0,0,0,250,0,0
Crystallized Emerald Blade,11,All,250,250,250,,,,,2500,,,,,,,,,2750,2750,2750,5000,13,21,3750,13
Doombringer,11,Melee Agility,,850,,,,,,,,,,,,0.05,,,0,850,0,0,0,71,0,0
Eagle Eye,11,Archer,,,,,,,,4200,,,,,,,,,4200,4200,4200,0,0,0,0,0
Energy Wand,11,Intelligence,,,550,,,,,,,,,,,,,,0,0,550,0,0,0,8250,28
Hellmouth,11,Melee,,,,4400,,,,,,,,,200,,,,0,0,0,4400,0,200,0,0
Magic Mirror,11,All,400,400,400,,,,,,,,,,50,,,,400,400,400,8000,20,83,6000,20
Paw of Lightning,11,Shapeshifter,,,900,,,,,,,,,0.20,,,,,0,0,900,0,0,0,13500,45
Phantom Dancer,11,Melee Agility,,500,,,,,,,,,,0.25,,,,,0,500,0,0,0,42,0,0
Plated Gauntlet,11,Melee,600,,,,,,,,,,,0.20,75,,,,600,0,0,12000,30,75,0,0
Runic Bow,11,Archer,,800,,,,,,,,,,0.20,,,,,0,800,0,0,0,67,0,0
Scepter of Mastery,11,Intelligence,,,750,,55,,40,,,,,,,0.05,,,0,0,750,0,55,0,11250,78
The Ark Royal,11,Melee,,,,,,,,4000,,,,,,,,,4000,4000,4000,0,0,0,0,0
Tomahawk Axe,11,Melee,,,,,,,,4800,,,,,,,,,4800,4800,4800,0,0,0,0,0
Windforce,11,Archer,,,,,,,,4800,,,,,,,,,4800,4800,4800,0,0,0,0,0
Atlantean's Tome,12,Intelligence,,,800,,,3750,,,,,,,,0.05,,,0,0,800,0,0,0,15750,40
Demonic Aggression,12,All,300,300,300,,,,,,,,,0.20,,,,90,300,300,300,6000,15,25,4500,15
Faith,12,Archer,,,,,,,,4000,,,,0.15,,,,,4000,4000,4000,0,0,0,0,0
Neptune's Eye,12,All,,,,11000,,8250,,,,,,,,,,,0,0,0,11000,0,0,8250,0
Tainted Neptune's Eye,12,All,,,,15000,,11500,,,,,,,,,,,0,0,0,15000,0,0,11500,0
The Grandfather,12,Tank,,,,,,,,1600,,,,,200,,,,1600,1600,1600,0,0,200,0,0
The Patriarch,12,Melee Agility,,,,,,,,4000,0.60,3.3,,,,,,,4000,4000,4000,0,0,0,0,0
Winter's Heart,12,Intelligence,,,800,,,,80,,,,,,,0.05,,,0,0,800,0,0,0,12000,120
Atalanta's Speed,13,Archer,,400,,,,,,4000,,,,,,,,,4000,4400,4000,0,0,33,0,0
Blaze's Touch,13,Melee Agility,,,,,,,,4800,,,0.35,,,,,,4800,4800,4800,0,0,0,0,0
Dragon Steel,13,Melee,,,,,,,,1000,,,,,275,,,,1000,1000,1000,0,0,275,0,0
Hannah's Legend,13,Intelligence,,,975,,,5000,,,,,,,,0.05,,,0,0,975,0,0,0,19625,49
Helm of Domination,13,Tank,,,,,,,,,,,,,340,,,,0,0,0,0,0,340,0,0
Megaera's Edge,13,Melee,,,,,,,,5000,,,,,,,,,5000,5000,5000,0,0,0,0,0
The Impaler,13,Melee Agility,,400,,,,,,2000,,,,0.20,,,,,2000,2400,2000,0,0,33,0,0
