Item,HP,CDS,DMG,AS,Armor,MR
Plated Gauntlet,12000,,600,0.2,75,
Dusk Orb,8800,,,,,
Summoning Codex,8500,0.05,425,,35,
Magic Mirror,8000,,400,,83,
Soul Crystal,7150,,,,,0.25
Blade of the Ruined King,7000,,3600,,,
Hand of God,6500,,325,0.15,25,
Hades Artifact,5600,,280,,23,
Hell Diamond,5000,0.05,250,,20,
Hellmouth,4400,,,,200,
Time Sabres,4400,,2400,,,
Dawn's Legacy,3400,,170,0.15,,
Song of Ice,1800,,800,,,
Tremor,,0.1,,,150,
Doombringer,,0.05,,,70,
Phantom Dancer,,,,0.25,42,
Soulcutter,,,2300,0.15,,
